id,land_use,du,yr_blt,eff_yr_blt,area_parcel,bldg_sqft,mkt_val,distance_to_nearest_park_m
53033009400965080228,single_family,1.0,2016.0,,0.028761758697903362,1710.0,730000.0,231.9212940839899
53033009400965080266,single_family,1.0,2004.0,,0.0334961476280824,1560.0,534000.0,115.59336328932727
53033009400965178680,single_family,1.0,2015.0,,0.03330045730781449,1920.0,744000.0,0.0
53033007401965073395,multifamily,46.0,1925.0,1996.0,0.2741667444802429,19566.0,9487000.0,17.882745207489315
53033009100965009181,multifamily,99.0,1979.0,1996.0,0.3297701547739024,56655.0,775200.0,113.37477309987806
53033009100965009186,multifamily,44.0,1910.0,1975.0,0.16521491488976664,34000.0,5198400.0,56.68723838273053
53033009100965232574,multifamily,111.0,2015.0,2015.0,0.45526546397400997,115583.0,,41.8734665081844
53033009200965009206,multifamily,50.0,2005.0,2007.0,0.16537751680133705,45628.0,20627000.0,28.45633536668714
53033007300964660770,retail_commercial,0.0,1917.0,2005.0,0.16433618436079436,11594.0,6661000.0,431.4407198063092
53033009200965009110,retail_commercial,0.0,1900.0,1920.0,0.13207654834202587,11520.0,1844200.0,41.037503016962766
53033009200965009122,retail_commercial,0.0,1900.0,1970.0,0.05878923291190765,9940.0,1102000.0,90.34858862712528
53033008400965107277,multifamily,6.0,1911.0,1973.0,0.08629065935774713,4480.0,1284800.0,262.19007264039203
53033008400965178499,retail_commercial,0.0,1909.0,1970.0,0.2261245218943273,7316.0,4936000.0,262.0321774880241
53033008400965181386,retail_commercial,0.0,1926.0,1985.0,0.09293939678335447,4400.0,1783000.0,236.39223487768933
53033008400965181392,multifamily,11.0,1964.0,1990.0,0.11470910721049905,7489.0,2814000.0,156.45311432619027
53033008900964712140,retail_commercial,0.0,1905.0,1979.0,0.1003400357123266,8496.0,1332600.0,153.68181378855982
53033006100964731749,multifamily,12.0,1930.0,1962.0,0.1888710976678028,873.0,547000.0,213.40239159754086
53033006100964864633,multifamily,10.0,1965.0,1990.0,0.1514875023354504,7532.0,2968000.0,59.72088903894059
53033008400964782086,retail_commercial,0.0,,,0.2305035805336152,,3303100.0,177.98131736104395
53033008400965181405,retail_commercial,0.0,1958.0,2001.0,0.07696228296638291,3280.0,1590800.0,360.3255002197492
53033008900964985136,civic_facilities,0.0,1910.0,1975.0,0.1403908834887319,1620.0,326300.0,282.4408523712809
53033008900964985152,civic_facilities,0.0,1951.0,1969.0,0.7187177590193199,10072.0,538200.0,176.8649366182365
53033008300964660765,vacant_other,0.0,,,0.03242789284458356,,1134300.0,506.61743553849044
53033007300964868255,vacant_other,0.0,,,0.03542337003899688,,,188.5249185774058
53033006200964787022,vacant_other,0.0,,,0.18671080064411288,,292000.0,38.552405442418646
53033006200964928192,civic_facilities,0.0,1907.0,,0.596877161917477,4010.0,3519000.0,48.8091451750331
53033008900964640418,vacant_other,0.0,,,0.11023779333584864,,327000.0,179.63452432012477
53033008900965080852,vacant_other,0.0,,,0.0532125929861342,,229000.0,168.0319269827786
53033009400965118538,vacant_other,0.0,,,0.04139588807322765,,,5.579775102788364
53033009000964897985,single_family,1.0,1971.0,2014.0,0.0493354846642311,1010.0,495000.0,42.08871048946594
53033009000964898026,single_family,1.0,2005.0,,0.019934388499396032,760.0,400000.0,33.66240487818945
53033009000964898028,single_family,1.0,2005.0,,0.02789503380842136,760.0,416000.0,18.916217229063786
53033009000964898173,single_family,1.0,2002.0,,0.03817508336792512,1410.0,550000.0,313.18916160746556
53033009000964898176,single_family,1.0,2006.0,,0.02786960050941678,1240.0,519000.0,328.81193866966225
53033009000964898225,single_family,1.0,1906.0,,0.05625128822355729,3250.0,590000.0,107.93787546869441
53033009000964949700,single_family,12.0,1996.0,1996.0,0.6884126368073,1531.0,613000.0,0.0
53033009000965080170,single_family,1.0,2009.0,,0.02811951429111013,1130.0,91371.0,369.37797735722785
53033009000965231276,single_family,1.0,2008.0,,0.02310753613114024,1360.0,571000.0,403.3503585299452
53033008600964799338,multifamily,21.0,2000.0,2010.0,0.07987332412591723,20140.0,8032400.0,69.87594134455371
53033006100964746054,multifamily,5.0,1994.0,1994.0,0.12591516809063574,1531.0,954000.0,207.3394569336429
53033006100964780303,multifamily,10.0,1925.0,1987.0,0.2521112634692688,7377.0,2670000.0,167.67208932340696
53033006500965234561,multifamily,8.0,1929.0,1991.0,0.18311192601612852,3318.0,1934000.0,211.18177179457194
53033007700964995595,office,0.0,1988.0,1988.0,0.19853024650062331,28600.0,5685400.0,31.01976568079432
53033007900965093146,multifamily,10.0,1950.0,1988.0,0.1645079005379601,6344.0,2803000.0,61.31858327995709
53033007900965122482,multifamily,18.0,1980.0,1980.0,0.301780492208004,1555.0,771000.0,46.05539334868726
53033007402964765081,multifamily,10.0,1958.0,1993.0,0.10400382199131833,5400.0,2173000.0,382.23769901559064
53033007402964807007,multifamily,16.0,1985.0,1985.0,0.2131760138878528,1169.0,691000.0,390.152284923729
53033007402965106021,multifamily,25.0,1965.0,1990.0,0.2693459878701275,19320.0,7200000.0,194.51931800103253
53033007402965181356,multifamily,10.0,1908.0,1994.0,0.11428435156655058,3600.0,1144000.0,439.0536614221886
53033008600965145031,retail_commercial,0.0,1920.0,1995.0,0.10804417920700923,5700.0,1652200.0,3.0478666544939745
53033006500964842075,multifamily,6.0,1926.0,1990.0,0.09352058723259786,4224.0,1755000.0,48.76086604960973
53033006400964722725,single_family,1.0,1911.0,,0.1101949168568947,1710.0,1252000.0,251.35662992621684
53033008700965144837,single_family,1.0,1905.0,,0.1176093001533954,2290.0,887000.0,256.85910280805535
53033006500964698811,single_family,1.0,1911.0,2000.0,0.2281842970048676,5110.0,3247000.0,265.3214089254415
53033006500964723518,single_family,1.0,1905.0,,0.2689012315329632,5730.0,3427000.0,268.39324040062536
53033006500964723524,single_family,1.0,1914.0,,0.39087499345170335,12280.0,5692000.0,41.91334689427749
53033006500965067266,single_family,1.0,1950.0,,0.11452742836646325,2170.0,1358000.0,158.4944285849932
53033006500965067312,single_family,1.0,1914.0,,0.11355012531623147,2260.0,1718000.0,48.76914651792906
53033006500965234566,single_family,1.0,1906.0,,0.08012514677554353,2160.0,1261000.0,180.4388525087073
53033007500964695362,multifamily,141.0,2007.0,2007.0,0.9038738673674545,7265.0,1285700.0,158.42028830338526
53033007500965035678,multifamily,30.0,1958.0,1988.0,0.2341071244672539,18720.0,291900.0,500.74662259046244
53033007500965073443,multifamily,42.0,1910.0,1994.0,0.2753740425822001,24275.0,10427000.0,332.59085545961887
53033006500965026963,multifamily,36.0,1956.0,2003.0,0.3512871608622676,827.0,530000.0,287.9840853529159
53033007900965091503,single_family,1.0,1903.0,,0.1134146385907543,1310.0,698000.0,385.03133015432144
53033007900965091551,single_family,1.0,1997.0,,0.11455795782444955,2334.0,850000.0,333.94739669220394
53033007900965093300,single_family,1.0,1910.0,1960.0,0.1256757521424327,1300.0,1066600.0,87.26899715826438
53033007900965093410,single_family,1.0,1912.0,,0.11412555526523388,2010.0,996000.0,204.8305739195398
53033006400964722458,single_family,1.0,1906.0,,0.13738803162480842,4200.0,2102000.0,64.76809365639502
53033006400964722765,single_family,1.0,1917.0,,0.13738904925286555,2540.0,1694000.0,110.46849680795535
53033006400964722776,single_family,1.0,1904.0,,0.10941886443917227,1900.0,1202000.0,110.49533374112774
53033006400964722881,single_family,1.0,2000.0,,0.10907560887919264,3260.0,1921000.0,160.451025881086
53033006400964722891,single_family,1.0,1905.0,,0.1090769801218608,2480.0,1577000.0,148.7623275721636
53033006400964723143,single_family,1.0,1906.0,,0.11563267241262724,4190.0,2043000.0,436.35428656069115
53033006400964723186,single_family,1.0,1911.0,,0.12357141093630765,2980.0,2175000.0,389.59535478645137
53033006400964723236,single_family,1.0,1908.0,,0.11753926918789755,1210.0,695000.0,349.5813902544862
53033006400964723261,single_family,1.0,1907.0,2010.0,0.13161196948588866,3100.0,1460000.0,360.9485168649279
53033006400964883201,single_family,1.0,1924.0,,0.137244970718733,1470.0,682000.0,192.46470728057736
53033006400964883215,single_family,1.0,1928.0,,0.1098082399352174,2730.0,959000.0,160.38800103785746
53033006400964883281,single_family,1.0,1951.0,,0.13660643697429978,1690.0,988000.0,20.116621853887366
53033006400965012827,single_family,1.0,1907.0,2007.0,0.11554279904059092,2120.0,1122000.0,15.21707258552364
53033008700965144657,single_family,1.0,1902.0,,0.12854674507820546,3150.0,855000.0,209.26694294680507
53033008700965144664,single_family,1.0,2007.0,,0.1167283148638774,2480.0,1241000.0,156.61457880822138
53033008700965144681,single_family,1.0,1991.0,,0.1334121503207472,1200.0,659000.0,141.21598810805293
53033008700965144824,single_family,1.0,1902.0,2009.0,0.10998276784376576,1960.0,902000.0,243.63232484718728
53033008700965144852,single_family,1.0,1902.0,,0.11684593303976235,1590.0,783000.0,277.259898422157
53033008800964703648,single_family,1.0,1979.0,,0.13587277913285578,1660.0,746000.0,297.8573611139403
53033008800964703658,single_family,1.0,1900.0,,0.1369341299199635,1350.0,581000.0,218.0544331354293
53033008800965072329,single_family,1.0,1923.0,2006.0,0.11500590170645232,2190.0,916000.0,329.7217679842995
53033008800965072340,single_family,1.0,1944.0,,0.11421799532584212,770.0,614000.0,240.47743380101758
53033008800965072349,single_family,1.0,1925.0,,0.1377900249949296,1320.0,677000.0,205.08488000887937
53033008800965072385,single_family,1.0,1924.0,,0.11429422226698133,1450.0,766000.0,212.6965418902409
53033008800965072556,single_family,1.0,1978.0,,0.11444590362311816,1740.0,731000.0,201.1086639329891
53033008800965072567,single_family,1.0,1942.0,,0.11430641332087994,990.0,560000.0,260.97961947227526
53033008800965089608,single_family,1.0,1901.0,2000.0,0.11717784006334472,1820.0,875000.0,532.0741700503121
