,uf_unique_,stop_id,name,operator,mode,direction,route_id,related_ro,related__1,related__2,headway_av,headway__1,headway__2,headway__3,hourly_arr,hourly_a_1,hourly_a_2,hourly_a_3,total_arri,total_ar_1,geometry_k,geometry
1666,f-9q9-scmtdcom_1684,2691R,Main & Ford,Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.0,70.0,1.0,1.0,0.81,0.69,14.0,11.0,3d4a17d2603f04f0,POINT (-121.760254 36.913898)
1667,f-9q9-scmtdcom_1685,2691R,Main & Ford,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,3d4a17d2603f04f0,POINT (-121.760254 36.913898)
1668,f-9q9-scmtdcom_1686,2694R,Delaware & Centennial,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,60.0,,60.0,60.0,1.0,0.5,0.69,0.38,11.0,6.0,7b10a0d998fbada1,POINT (-122.030998 36.95805)
1669,f-9q9-scmtdcom_1687,2694R,Delaware & Centennial,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200024,,,60.0,60.0,,0.5,0.19,0.25,3.0,4.0,7b10a0d998fbada1,POINT (-122.030998 36.95805)
1670,f-9q9-scmtdcom_1688,2695R,Delaware & Liberty,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,,60.0,60.0,60.0,0.5,1.0,0.69,0.38,11.0,6.0,a897d615aee6b130,POINT (-122.030022 36.958031)
1671,f-9q9-scmtdcom_1689,2695R,Delaware & Liberty,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200024,,,60.0,60.0,,,0.19,0.25,3.0,4.0,a897d615aee6b130,POINT (-122.030022 36.958031)
1672,f-9q9-scmtdcom_1690,2696R,Delaware & Columbia,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,,60.0,60.0,60.0,0.5,1.0,0.69,0.38,11.0,6.0,daa7502a91891283,POINT (-122.033981 36.957451)
1673,f-9q9-scmtdcom_1691,2696R,Delaware & Columbia,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200024,,,60.0,60.0,,,0.19,0.25,3.0,4.0,daa7502a91891283,POINT (-122.033981 36.957451)
1674,f-9q9-scmtdcom_1692,2697R,Pacific & Center,Santa Cruz Metro,Bus,0,19,19,UCSC via Lower Bay,190013,60.0,60.0,60.0,60.0,1.0,1.0,0.88,0.62,14.0,10.0,32333dc835ec1007,POINT (-122.02536 36.965668)
1675,f-9q9-scmtdcom_1693,2697R,Pacific & Center,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,60.0,,60.0,60.0,1.0,0.5,0.69,0.38,11.0,6.0,32333dc835ec1007,POINT (-122.02536 36.965668)
1676,f-9q9-scmtdcom_1694,2697R,Pacific & Center,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200024,,,60.0,60.0,,0.5,0.19,0.25,3.0,4.0,32333dc835ec1007,POINT (-122.02536 36.965668)
1677,f-9q9-scmtdcom_1695,2699R,Capitola Ave & Bay Ave,Santa Cruz Metro,Bus,0,55,55,Rio Del Mar,550012,,,240.0,,0.5,,0.19,,3.0,,8b2fa6ef59a83696,POINT (-121.953102 36.978306)
1678,f-9q9-scmtdcom_1696,2699R,Capitola Ave & Bay Ave,Santa Cruz Metro,Bus,0,55,55,Rio Del Mar,550011,,,240.0,300.0,,,0.12,0.12,2.0,2.0,8b2fa6ef59a83696,POINT (-121.953102 36.978306)
1679,f-9q9-scmtdcom_1697,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,04,04,Harvey West / Emeline,040001,,35.0,56.88,,,1.0,0.56,,9.0,,3fd61aaeea226e9,POINT (-122.024979 36.970673)
