,uf_unique_,stop_id,name,operator,mode,direction,route_id,related_ro,related__1,related__2,headway_av,headway__1,headway__2,headway__3,hourly_arr,hourly_a_1,hourly_a_2,hourly_a_3,total_arri,total_ar_1,geometry_k,geometry
0,f-9q9-scmtdcom_532,1539R,Hwy 9 & Shadowbrook Rd,Santa Cruz Metro,Bus,0,35A,35A,SLV via Scotts Valley Drive,35A0039,,,,,,,,,1.0,1.0,c97fe685eeecf501,POINT (-122.084435 37.081261)
1,f-9q9-scmtdcom_568,1556R,Hwy 9 & Irwin Way,Santa Cruz Metro,Bus,1,35,35,San Lorenzo Valley (SLV),350070,,,,,,,0.06,,1.0,,2fb2621d462b2f4e,POINT (-122.11441 37.111294)
2,f-9q9-scmtdcom_744,1713R,River (River/Front Garage),Santa Cruz Metro,Bus,0,66,66,Live Oak via 17th,660010,,,,,,,0.06,,1.0,,6b7d1c663eee3192,POINT (-122.025192 36.976425)
3,f-9q9-scmtdcom_1259,2175R,17th Ave & Felt,Santa Cruz Metro,Bus,1,66,66,Live Oak via 17th,660011,,,,,0.5,,0.06,,1.0,,95b4d0418ff76944,POINT (-121.985222 36.967182)
4,f-9q9-scmtdcom_1295,2212R,Herman Ave & Kralj Dr,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,67d232d7b56ee5f1,POINT (-121.784691 36.923138)
5,f-9q9-scmtdcom_1296,2214R,Anna & Herman Ave,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,12d0337fcded7b6d,POINT (-121.785263 36.925499)
6,f-9q9-scmtdcom_1504,2505R,Hwy 9 & Brimblecom Rd,Santa Cruz Metro,Bus,1,35,35,San Lorenzo Valley (SLV),350070,,,,,,,0.06,,1.0,,2dd061c75ec68c1b,POINT (-122.131935 37.142136)
7,f-9q9-scmtdcom_1505,2505R,Hwy 9 & Brimblecom Rd,Santa Cruz Metro,Bus,0,35A,35A,SLV via Scotts Valley Drive,35A0039,,,,,,,,,1.0,1.0,2dd061c75ec68c1b,POINT (-122.131935 37.142136)
8,f-9q9-scmtdcom_18,1001R,Airport Blvd & Airport Rd,Santa Cruz Metro,Bus,0,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0005,60.0,49.0,59.36,59.36,1.0,1.0,0.75,0.75,12.0,12.0,3f15826642058ccb,POINT (-121.782814 36.934383)
9,f-9q9-scmtdcom_19,1002R,Airport Blvd (Airport),Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.18,60.2,1.0,0.5,0.75,0.69,12.0,11.0,9f5bbcf6f70f1ca4,POINT (-121.783485 36.934322)
10,f-9q9-scmtdcom_20,1005R,Airport Blvd & Holm Rd,Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.18,60.2,1.0,0.5,0.75,0.69,12.0,11.0,bc442d51c8353893,POINT (-121.787842 36.931953)
11,f-9q9-scmtdcom_21,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710011,,54.5,59.69,73.27,0.5,1.5,0.88,0.75,14.0,12.0,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
12,f-9q9-scmtdcom_22,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,49.0,59.64,71.5,1.0,1.0,0.94,0.69,17.0,13.0,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
13,f-9q9-scmtdcom_23,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
14,f-9q9-scmtdcom_24,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.17,70.2,1.0,1.0,0.81,0.69,14.0,11.0,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
15,f-9q9-scmtdcom_25,1006R,Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,ef1939fdecb8ea38,POINT (-121.77655 36.939846)
16,f-9q9-scmtdcom_26,1015R,Amesti Rd & Green Valley Rd (Amesti School),Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,95d8fce26d48e71e,POINT (-121.767708 36.946316)
17,f-9q9-scmtdcom_27,1015R,Amesti Rd & Green Valley Rd (Amesti School),Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,95d8fce26d48e71e,POINT (-121.767708 36.946316)
18,f-9q9-scmtdcom_28,1020R,Amesti Rd & Mann Ave,Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,348348586da70c15,POINT (-121.781731 36.956173)
19,f-9q9-scmtdcom_29,1020R,Amesti Rd & Mann Ave,Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,348348586da70c15,POINT (-121.781731 36.956173)
20,f-9q9-scmtdcom_30,1026R,Amesti Rd & Bollinger Pl,Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,9044478bc708963c,POINT (-121.793793 36.967934)
21,f-9q9-scmtdcom_31,1026R,Amesti Rd & Bollinger Pl,Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,9044478bc708963c,POINT (-121.793793 36.967934)
22,f-9q9-scmtdcom_32,1034R,Bowker Rd & Buena Vista Dr,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,e5de4533591c5d87,POINT (-121.791351 36.939789)
23,f-9q9-scmtdcom_33,1035R,Bowker Rd & Calabasas Rd,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,2df6b210a39c5bbb,POINT (-121.790672 36.941872)
24,f-9q9-scmtdcom_34,1040R,E Bronte Ave & Ester Way,Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,e4f05d77a1513050,POINT (-121.743027 36.918427)
25,f-9q9-scmtdcom_35,1044R,Browns Valley Rd & Corralitos Rd,Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,e85108c26c394df7,POINT (-121.806686 36.988743)
26,f-9q9-scmtdcom_36,1044R,Browns Valley Rd & Corralitos Rd,Santa Cruz Metro,Bus,1,72W,72W,Green Valley - Corralitos,72W0003,,,,120.75,,,,0.31,,5.0,e85108c26c394df7,POINT (-121.806686 36.988743)
27,f-9q9-scmtdcom_37,1045R,Clifford Ave (Clifford Manor),Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,47.0,59.64,71.5,1.0,1.0,0.94,0.69,17.0,13.0,db74e4513e5e238,POINT (-121.773865 36.924629)
28,f-9q9-scmtdcom_38,1045R,Clifford Ave (Clifford Manor),Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,db74e4513e5e238,POINT (-121.773865 36.924629)
29,f-9q9-scmtdcom_39,1046R,Clifford Ave & Lassen Way,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710028,60.0,60.0,60.4,73.73,1.0,1.0,1.0,0.75,18.0,12.0,f07e523d4b966a9b,POINT (-121.773895 36.924191)
30,f-9q9-scmtdcom_40,1047R,Clifford Ave & Melrose Ave,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,47.0,59.64,71.5,1.0,1.0,0.94,0.69,17.0,13.0,fe124713a6f99c4e,POINT (-121.772972 36.926682)
31,f-9q9-scmtdcom_41,1047R,Clifford Ave & Melrose Ave,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,fe124713a6f99c4e,POINT (-121.772972 36.926682)
32,f-9q9-scmtdcom_42,1049R,Clifford Ave & Crescent Dr,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710028,60.0,59.0,60.4,73.64,1.0,1.0,1.0,0.75,18.0,12.0,9d403783841736d7,POINT (-121.7715 36.927647)
33,f-9q9-scmtdcom_43,1051R,Clifford Ave & Freedom Blvd,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710028,60.0,59.0,60.4,73.73,1.0,1.0,1.0,0.75,18.0,12.0,31739a397a003a75,POINT (-121.768669 36.929779)
34,f-9q9-scmtdcom_44,1052R,College Rd & Parker Dr,Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,d31b6f13cf2a9fc9,POINT (-121.734009 36.933037)
35,f-9q9-scmtdcom_45,1053R,College Rd & Cutter Dr,Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,cb933d075087ef45,POINT (-121.738052 36.934174)
36,f-9q9-scmtdcom_46,1054R,College Rd & E Lake Ave,Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,70daa75cfbecea00,POINT (-121.742928 36.935867)
37,f-9q9-scmtdcom_47,1056R,Corralitos Rd (Bradley Elementary),Santa Cruz Metro,Bus,1,72W,72W,Green Valley - Corralitos,72W0003,,,,120.75,,,,0.31,,5.0,81c94c1c6ea9a322,POINT (-121.806442 36.975407)
38,f-9q9-scmtdcom_48,1057R,Corralitos Rd & Varni Rd,Santa Cruz Metro,Bus,1,72W,72W,Green Valley - Corralitos,72W0003,,,,120.75,,,,0.31,,5.0,9eaa13c525bbf7d6,POINT (-121.807327 36.96804)
39,f-9q9-scmtdcom_49,1059R,E Beach & Marchant,Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.0,60.0,1.0,0.5,0.75,0.69,12.0,11.0,bbbeeb380ab724bb,POINT (-121.753555 36.912575)
40,f-9q9-scmtdcom_50,1059R,E Beach & Marchant,Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,bbbeeb380ab724bb,POINT (-121.753555 36.912575)
41,f-9q9-scmtdcom_51,1060R,E Beach & Blackburn,Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,81041f54d33d6ef3,POINT (-121.749451 36.915508)
42,f-9q9-scmtdcom_52,1061R,E Beach & Beck,Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,ff4f026a5658f7e9,POINT (-121.747749 36.916798)
43,f-9q9-scmtdcom_53,1062R,E Beach & Hushbeck Ave,Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,75068b53c46fa8ab,POINT (-121.745316 36.91856)
44,f-9q9-scmtdcom_54,1064R,E Lake & Sudden,Santa Cruz Metro,Bus,0,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0005,60.0,49.0,59.36,59.36,1.0,1.0,0.75,0.75,12.0,12.0,9da0555a3aa2c939,POINT (-121.756165 36.913342)
45,f-9q9-scmtdcom_55,1069R,E Lake & Martinelli (East Lake Village),Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,274f5294f5a637ee,POINT (-121.746262 36.924847)
46,f-9q9-scmtdcom_56,1070R,E Lake & Martinelli (East Lake Village),Santa Cruz Metro,Bus,0,79,79,East Lake / Crestview,790008,,,120.0,240.0,0.5,,0.31,0.19,5.0,3.0,e5fa7f573203d5ed,POINT (-121.745865 36.925247)
47,f-9q9-scmtdcom_57,1077R,Freedom Blvd & Brennan,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710024,60.0,60.0,60.36,72.0,1.0,1.0,0.94,0.69,15.0,11.0,b2de5b2e54deee79,POINT (-121.760345 36.916782)
48,f-9q9-scmtdcom_58,1077R,Freedom Blvd & Brennan,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,b2de5b2e54deee79,POINT (-121.760345 36.916782)
49,f-9q9-scmtdcom_59,1078R,Freedom Blvd & Stanford,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710024,60.0,60.0,60.36,72.0,1.0,1.0,0.94,0.69,15.0,11.0,87d2d70a721235d6,POINT (-121.760757 36.920795)
50,f-9q9-scmtdcom_60,1078R,Freedom Blvd & Stanford,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,87d2d70a721235d6,POINT (-121.760757 36.920795)
51,f-9q9-scmtdcom_61,1080R,Freedom Blvd & Atkinson Ln,Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.18,60.2,1.0,0.5,0.75,0.69,12.0,11.0,e56107d8a8bf2968,POINT (-121.767693 36.929951)
52,f-9q9-scmtdcom_62,1080R,Freedom Blvd & Atkinson Ln,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710024,60.0,59.0,60.36,72.0,1.0,1.0,0.94,0.69,15.0,11.0,e56107d8a8bf2968,POINT (-121.767693 36.929951)
53,f-9q9-scmtdcom_63,1080R,Freedom Blvd & Atkinson Ln,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,e56107d8a8bf2968,POINT (-121.767693 36.929951)
54,f-9q9-scmtdcom_64,1081R,Freedom Blvd & Sydney Ave,Santa Cruz Metro,Bus,0,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0005,60.0,49.0,59.36,59.36,1.0,1.0,0.75,0.75,12.0,12.0,cb66bfa065b07555,POINT (-121.769493 36.931419)
55,f-9q9-scmtdcom_65,1081R,Freedom Blvd & Sydney Ave,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710011,,47.0,59.69,73.27,0.5,1.0,0.88,0.75,14.0,12.0,cb66bfa065b07555,POINT (-121.769493 36.931419)
56,f-9q9-scmtdcom_66,1081R,Freedom Blvd & Sydney Ave,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,47.0,59.64,71.5,1.0,1.0,0.94,0.69,17.0,13.0,cb66bfa065b07555,POINT (-121.769493 36.931419)
57,f-9q9-scmtdcom_67,1082R,Freedom Blvd & Blanca Ln,Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.09,60.1,1.0,0.5,0.75,0.69,12.0,11.0,9ed1f905ae9e4734,POINT (-121.769249 36.931553)
58,f-9q9-scmtdcom_68,1082R,Freedom Blvd & Blanca Ln,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710028,60.0,59.0,60.4,73.73,1.0,1.0,1.0,0.75,18.0,12.0,9ed1f905ae9e4734,POINT (-121.769249 36.931553)
59,f-9q9-scmtdcom_69,1082R,Freedom Blvd & Blanca Ln,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710024,60.0,58.0,60.36,72.0,1.0,1.0,0.94,0.69,15.0,11.0,9ed1f905ae9e4734,POINT (-121.769249 36.931553)
60,f-9q9-scmtdcom_70,1083R,Freedom Blvd & Davis Ave,Santa Cruz Metro,Bus,0,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0005,60.0,49.0,59.36,59.36,1.0,1.0,0.75,0.75,12.0,12.0,7e5535143d1e7287,POINT (-121.771362 36.933136)
61,f-9q9-scmtdcom_71,1083R,Freedom Blvd & Davis Ave,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710011,,47.0,59.69,73.27,0.5,1.0,0.88,0.75,14.0,12.0,7e5535143d1e7287,POINT (-121.771362 36.933136)
62,f-9q9-scmtdcom_72,1083R,Freedom Blvd & Davis Ave,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,48.0,59.64,71.5,1.0,1.0,0.94,0.69,17.0,13.0,7e5535143d1e7287,POINT (-121.771362 36.933136)
63,f-9q9-scmtdcom_73,1084R,Freedom Blvd & Green Valley Rd,Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.18,60.2,1.0,0.5,0.75,0.69,12.0,11.0,91f734e54424c757,POINT (-121.773621 36.935398)
64,f-9q9-scmtdcom_74,1084R,Freedom Blvd & Green Valley Rd,Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,91f734e54424c757,POINT (-121.773621 36.935398)
65,f-9q9-scmtdcom_75,1084R,Freedom Blvd & Green Valley Rd,Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.17,70.2,1.0,1.0,0.81,0.69,14.0,11.0,91f734e54424c757,POINT (-121.773621 36.935398)
66,f-9q9-scmtdcom_76,1084R,Freedom Blvd & Green Valley Rd,Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.5,,,,0.31,,5.0,91f734e54424c757,POINT (-121.773621 36.935398)
67,f-9q9-scmtdcom_77,1086R,Freedom Blvd & Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,60.0,,60.18,60.2,1.0,0.5,0.75,0.69,12.0,11.0,7c848ff281826b7d,POINT (-121.776543 36.937725)
68,f-9q9-scmtdcom_78,1086R,Freedom Blvd & Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,7c848ff281826b7d,POINT (-121.776543 36.937725)
69,f-9q9-scmtdcom_79,1086R,Freedom Blvd & Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.17,70.2,1.0,1.0,0.81,0.69,14.0,11.0,7c848ff281826b7d,POINT (-121.776543 36.937725)
70,f-9q9-scmtdcom_80,1086R,Freedom Blvd & Airport Blvd (Freedom Centre),Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.75,,,,0.31,,5.0,7c848ff281826b7d,POINT (-121.776543 36.937725)
71,f-9q9-scmtdcom_81,1087R,Freedom Blvd & Emme,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710011,,55.0,59.69,73.27,0.5,1.5,0.88,0.75,14.0,12.0,41835a9e2a3d127,POINT (-121.780052 36.939388)
72,f-9q9-scmtdcom_82,1087R,Freedom Blvd & Emme,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,50.0,59.64,71.5,1.0,1.0,0.94,0.69,17.0,13.0,41835a9e2a3d127,POINT (-121.780052 36.939388)
73,f-9q9-scmtdcom_83,1088R,Freedom Blvd & Compton Ter,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710028,60.0,58.0,60.4,73.73,1.0,1.0,1.0,0.75,18.0,12.0,4696b7248f641e44,POINT (-121.779884 36.939522)
74,f-9q9-scmtdcom_84,1088R,Freedom Blvd & Compton Ter,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710024,60.0,58.0,60.36,72.0,1.0,1.0,0.94,0.69,15.0,11.0,4696b7248f641e44,POINT (-121.779884 36.939522)
75,f-9q9-scmtdcom_85,1088R,Freedom Blvd & Compton Ter,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,4696b7248f641e44,POINT (-121.779884 36.939522)
76,f-9q9-scmtdcom_86,1088R,Freedom Blvd & Compton Ter,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,4696b7248f641e44,POINT (-121.779884 36.939522)
77,f-9q9-scmtdcom_87,1089R,Freedom Blvd & Bowker Rd,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710011,,55.0,59.69,73.27,0.5,1.5,0.88,0.75,14.0,12.0,b8700f51d9ec4ca6,POINT (-121.787468 36.944496)
78,f-9q9-scmtdcom_88,1089R,Freedom Blvd & Bowker Rd,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710027,60.0,50.0,59.64,71.5,1.0,1.0,0.94,0.69,17.0,13.0,b8700f51d9ec4ca6,POINT (-121.787468 36.944496)
79,f-9q9-scmtdcom_89,1090R,Freedom Blvd & Bowker Rd,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710028,60.0,58.0,60.4,73.73,1.0,1.0,1.0,0.75,18.0,12.0,55d9f8255a316f9e,POINT (-121.787308 36.944565)
80,f-9q9-scmtdcom_90,1090R,Freedom Blvd & Bowker Rd,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710024,60.0,58.0,60.36,72.0,1.0,1.0,0.94,0.69,15.0,11.0,55d9f8255a316f9e,POINT (-121.787308 36.944565)
81,f-9q9-scmtdcom_91,1090R,Freedom Blvd & Bowker Rd,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,55d9f8255a316f9e,POINT (-121.787308 36.944565)
82,f-9q9-scmtdcom_92,1091R,S Green Valley Rd & Melwood,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,69c4cc36423df6c6,POINT (-121.783035 36.919697)
83,f-9q9-scmtdcom_93,1091R,S Green Valley Rd & Melwood,Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.08,70.1,1.0,1.0,0.81,0.69,14.0,11.0,69c4cc36423df6c6,POINT (-121.783035 36.919697)
84,f-9q9-scmtdcom_94,1091R,S Green Valley Rd & Melwood,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,69c4cc36423df6c6,POINT (-121.783035 36.919697)
85,f-9q9-scmtdcom_95,1091R,S Green Valley Rd & Melwood,Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.25,,,,0.31,,5.0,69c4cc36423df6c6,POINT (-121.783035 36.919697)
86,f-9q9-scmtdcom_96,1092R,S Green Valley Rd & Melwood,Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,88024b103d3c9256,POINT (-121.783089 36.920185)
87,f-9q9-scmtdcom_97,1092R,S Green Valley Rd & Melwood,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,88024b103d3c9256,POINT (-121.783089 36.920185)
88,f-9q9-scmtdcom_98,1092R,S Green Valley Rd & Melwood,Santa Cruz Metro,Bus,1,75,75,Green Valley,750009,60.0,60.0,60.15,70.2,1.0,1.0,0.88,0.69,14.0,11.0,88024b103d3c9256,POINT (-121.783089 36.920185)
89,f-9q9-scmtdcom_99,1092R,S Green Valley Rd & Melwood,Santa Cruz Metro,Bus,1,72W,72W,Green Valley - Corralitos,72W0003,,,,121.5,,,,0.31,,5.0,88024b103d3c9256,POINT (-121.783089 36.920185)
90,f-9q9-scmtdcom_100,1093R,S Green Valley Rd & Oakridge,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,f9f19918a4834b94,POINT (-121.780571 36.923981)
91,f-9q9-scmtdcom_101,1093R,S Green Valley Rd & Oakridge,Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.08,70.1,1.0,1.0,0.81,0.69,14.0,11.0,f9f19918a4834b94,POINT (-121.780571 36.923981)
92,f-9q9-scmtdcom_102,1093R,S Green Valley Rd & Oakridge,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,f9f19918a4834b94,POINT (-121.780571 36.923981)
93,f-9q9-scmtdcom_103,1093R,S Green Valley Rd & Oakridge,Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.25,,,,0.31,,5.0,f9f19918a4834b94,POINT (-121.780571 36.923981)
94,f-9q9-scmtdcom_104,1094R,S Green Valley Rd & Hope Dr (Kingdom Hall),Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,5881b4866c6413bd,POINT (-121.778175 36.928143)
95,f-9q9-scmtdcom_105,1094R,S Green Valley Rd & Hope Dr (Kingdom Hall),Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.17,70.2,1.0,1.0,0.81,0.69,14.0,11.0,5881b4866c6413bd,POINT (-121.778175 36.928143)
96,f-9q9-scmtdcom_106,1094R,S Green Valley Rd & Hope Dr (Kingdom Hall),Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,5881b4866c6413bd,POINT (-121.778175 36.928143)
97,f-9q9-scmtdcom_107,1094R,S Green Valley Rd & Hope Dr (Kingdom Hall),Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.5,,,,0.31,,5.0,5881b4866c6413bd,POINT (-121.778175 36.928143)
98,f-9q9-scmtdcom_108,1095R,S Green Valley Rd & Pennsylvania Dr,Santa Cruz Metro,Bus,0,72,72,Hospital / Pinto Lake,720004,60.0,60.0,60.0,,1.0,1.0,0.75,,12.0,,a9ef180cf141d807,POINT (-121.776855 36.930405)
99,f-9q9-scmtdcom_109,1095R,S Green Valley Rd & Pennsylvania Dr,Santa Cruz Metro,Bus,0,74S,74S,PVHS / Watsonville Hospital,74S0004,,,,,,,0.06,,1.0,,a9ef180cf141d807,POINT (-121.776855 36.930405)
100,f-9q9-scmtdcom_110,1095R,S Green Valley Rd & Pennsylvania Dr,Santa Cruz Metro,Bus,0,75,75,Green Valley,750008,60.0,60.0,60.08,70.1,1.0,1.0,0.81,0.69,14.0,11.0,a9ef180cf141d807,POINT (-121.776855 36.930405)
101,f-9q9-scmtdcom_111,1095R,S Green Valley Rd & Pennsylvania Dr,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,a9ef180cf141d807,POINT (-121.776855 36.930405)
102,f-9q9-scmtdcom_112,1095R,S Green Valley Rd & Pennsylvania Dr,Santa Cruz Metro,Bus,0,72W,72W,Green Valley - Corralitos,72W0002,,,,120.25,,,,0.31,,5.0,a9ef180cf141d807,POINT (-121.776855 36.930405)
103,f-9q9-scmtdcom_113,1097R,Green Valley Rd & Freedom Blvd,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710028,60.0,59.0,60.4,73.64,1.0,1.0,1.0,0.75,18.0,12.0,ad8362dc9e3a6144,POINT (-121.772751 36.935593)
